"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","data"
"1975","RT @lidicedamata: Continua o intenso debate na CCJ durante votação da #PEC55! Acompanhem ao vivo: https://t.co/wVClaGka4C",FALSE,0,NA,2016-11-09 19:00:24,FALSE,NA,"796427237075648512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AndreiaFranco_",2,TRUE,FALSE,NA,NA,2016-11-09
"1976","Tá uma palhaçada isso!!! #PEC241 #PEC55",FALSE,0,NA,2016-11-09 18:55:21,FALSE,NA,"796425964863356928",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MandyBarros_",0,FALSE,FALSE,NA,NA,2016-11-09
"1977","RT @lidicedamata: Continua o intenso debate na CCJ durante votação da #PEC55! Acompanhem ao vivo: https://t.co/wVClaGka4C",FALSE,0,NA,2016-11-09 18:53:32,FALSE,NA,"796425506006646784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","neta0307",2,TRUE,FALSE,NA,NA,2016-11-09
"1978","RT @obrasilonline: Coordenadora da Auditoria Cidadã detona a #PEC55 em Comissão do Senado, assista: https://t.co/HroaDT00BC https://t.co/q1…",FALSE,0,NA,2016-11-09 18:52:59,FALSE,NA,"796425370308399104",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Flautorquato",12,TRUE,FALSE,NA,NA,2016-11-09
"1979","RT @obrasilonline: Coordenadora da Auditoria Cidadã detona a #PEC55 em Comissão do Senado, assista: https://t.co/HroaDT00BC https://t.co/q1…",FALSE,0,NA,2016-11-09 18:49:27,FALSE,NA,"796424478163083264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","M_Perucci",12,TRUE,FALSE,NA,NA,2016-11-09
"1980","RT @obrasilonline: Coordenadora da Auditoria Cidadã detona a #PEC55 em Comissão do Senado, assista: https://t.co/HroaDT00BC https://t.co/q1…",FALSE,0,NA,2016-11-09 18:48:35,FALSE,NA,"796424262538166272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SCarvalho75",12,TRUE,FALSE,NA,NA,2016-11-09
"1981","Mas e cadê o debate político?????? #PEC241 #PEC55",FALSE,0,NA,2016-11-09 18:48:35,FALSE,NA,"796424261606998016",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MandyBarros_",0,FALSE,FALSE,NA,NA,2016-11-09
"1982","Sr. Presidente, e o direito ao encaminhamento? #PEC241 #PEC55",FALSE,0,NA,2016-11-09 18:47:45,FALSE,NA,"796424053934297088",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MandyBarros_",0,FALSE,FALSE,NA,NA,2016-11-09
"1983","RT @obrasilonline: Coordenadora da Auditoria Cidadã detona a #PEC55 em Comissão do Senado, assista: https://t.co/HroaDT00BC https://t.co/q1…",FALSE,0,NA,2016-11-09 18:44:29,FALSE,NA,"796423231771181056",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LauraNTar",12,TRUE,FALSE,NA,NA,2016-11-09
"1984","Coordenadora da Auditoria Cidadã detona a #PEC55 em Comissão do Senado, assista: https://t.co/HroaDT00BC https://t.co/q1nURac9le",FALSE,12,NA,2016-11-09 18:43:19,FALSE,NA,"796422937154879493",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","obrasilonline",12,FALSE,FALSE,NA,NA,2016-11-09
"1985","RT @camp_educacao: ""A #PEC55 desconstrói o #PNE. Deixará o país sem se desenvolver por 20 anos. Se não fossem os #estudantes, a... https://…",FALSE,0,NA,2016-11-09 18:41:07,FALSE,NA,"796422381258489856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","leocarnevalli",2,TRUE,FALSE,NA,NA,2016-11-09
"1986","a #PEC55? nem gente do governo garante os resultados da mesma, nem instâncias de Justiça garantem a constitucionalidade da mesma",FALSE,1,"cadulorena",2016-11-09 18:39:13,FALSE,"796421708345409537","796421905234399232","174901520","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","cadulorena",0,FALSE,FALSE,NA,NA,2016-11-09
"1987","Fui numa ocupação hoje pra conhecer o movimento e simplesmente apx pela luta dos jovens para garantir os seus direitos #PEC241 #PEC55",FALSE,0,NA,2016-11-09 18:37:02,FALSE,NA,"796421356963426304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mrsMary_n",0,FALSE,FALSE,NA,NA,2016-11-09
"1988","Continua o intenso debate na CCJ durante votação da #PEC55! Acompanhem ao vivo: https://t.co/wVClaGka4C",FALSE,2,NA,2016-11-09 18:35:52,FALSE,NA,"796421061759926275",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lidicedamata",2,FALSE,FALSE,NA,NA,2016-11-09
"1989","Em nota pública subscrita pela #Auditar, MP e Magistratura se posicionam contra a #PEC55. Leia na íntegra: https://t.co/LpPWJXo8jT",FALSE,0,NA,2016-11-09 18:35:09,FALSE,NA,"796420880536666112",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","auditaroficial",0,FALSE,FALSE,NA,NA,2016-11-09
"1990","enquanto a direita defende a #PEC55 do Temer, ele junto com a quadrilha de corruptos do PMDB e PSDB executa o plano de fuga da #LavaJato",FALSE,0,"cadulorena",2016-11-09 18:26:12,FALSE,"796418464894382081","796418629743083533","174901520","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","cadulorena",0,FALSE,FALSE,NA,NA,2016-11-09
"1991","a distração que Temer oferece pra direita que o apoia é ficar gritando contra estudantes em ocupações ou defendendo a #PEC55",FALSE,0,"cadulorena",2016-11-09 18:24:49,FALSE,"796418126535655425","796418280026230784","174901520","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","cadulorena",0,FALSE,FALSE,NA,NA,2016-11-09
"1992","a galera de direita que apoia Temer é - pra dizer o mínimo - rasa, fraca politicamente: se escora na #PEC55 e assiste a todo o resto muda",FALSE,1,"cadulorena",2016-11-09 18:20:34,FALSE,"796416978600787970","796417212856860677","174901520","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","cadulorena",0,FALSE,FALSE,NA,NA,2016-11-09
"1993","Acompanhando a votação da pec 55. Senadora Simone do MS falou tudo. #PEC55 #PEC241 #brasil",FALSE,0,NA,2016-11-09 18:15:32,FALSE,NA,"796415945740845056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MarcusMarverick",0,FALSE,FALSE,NA,NA,2016-11-09
"1994","RT @sudornelles: Essa gurizada é a ÚNICA chance de salvação ! #Pec241 #PEC55 NÃO !! https://t.co/KsUq17jr3w",FALSE,0,NA,2016-11-09 18:13:20,FALSE,NA,"796415390943477760",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","odio_nao",3,TRUE,FALSE,NA,NA,2016-11-09
"1995","a direita apoia a manutenção de Temer, PSDB e PMDB no poder por causa da frágil #PEC55 - que nem eles garantem que dará resultados",FALSE,0,"cadulorena",2016-11-09 18:12:44,FALSE,"796415013456117761","796415239520653312","174901520","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","cadulorena",0,FALSE,FALSE,NA,NA,2016-11-09
"1996","RT @vanessasenadora: Temer quer aprovar a qualquer custo a #PEC241, agora no Senado #PEC55, que congela recursos da saúde e da educação, de…",FALSE,0,NA,2016-11-09 18:12:41,FALSE,NA,"796415228460273665",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rosilen12360228",341,TRUE,FALSE,NA,NA,2016-11-09
"1997","RT @vanessasenadora: Os governistas fogem do debate sobre a #PEC55, que congela por 20 anos investimentos em saúde, educação, moradia, infr…",FALSE,0,NA,2016-11-09 18:11:37,FALSE,NA,"796414959613788160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rosilen12360228",303,TRUE,FALSE,NA,NA,2016-11-09
